Tên Bảng,Tên Cột,STT Cột,Kiểu Dữ Liệu,Độ Dài Tối Đa,Cho Phép Null?,Giá Trị Mặc Định
history_price,ticker,1,character varying,10,NO,
history_price,trading_date,2,text,,NO,
history_price,open,3,numeric,,YES,
history_price,high,4,numeric,,YES,
history_price,low,5,numeric,,YES,
history_price,close,6,numeric,,YES,
history_price,volume,7,bigint,,YES,
history_price,import_time,8,timestamp without time zone,,YES,CURRENT_TIMESTAMP
macro_economy,date,1,date,,NO,
macro_economy,open,2,real,,YES,
macro_economy,high,3,real,,YES,
macro_economy,low,4,real,,YES,
macro_economy,close,5,real,,YES,
macro_economy,volume,6,bigint,,YES,
macro_economy,asset_type,7,character varying,20,NO,
market_index,ticker,1,character varying,10,NO,
market_index,trading_date,2,text,,NO,
market_index,open,3,numeric,,YES,
market_index,high,4,numeric,,YES,
market_index,low,5,numeric,,YES,
market_index,close,6,numeric,,YES,
market_index,volume,7,bigint,,YES,
market_index,import_time,8,timestamp without time zone,,YES,CURRENT_TIMESTAMP
news,id,1,integer,,NO,nextval('new_v1_id_seq'::regclass)
news,source,2,text,,YES,
news,title,3,text,,YES,
news,link,4,text,,YES,
news,published,5,timestamp without time zone,,YES,
news,summary,6,text,,YES,
news,inserted_at,7,timestamp without time zone,,YES,now()
news,sentiment,8,double precision,,YES,
news,icb_name,9,text,,YES,
owner,ticker,1,character varying,10,YES,
owner,name,2,character varying,255,YES,
owner,position,3,character varying,255,YES,
owner,percent,4,text,,YES,
owner,type,5,character varying,50,YES,
owner,import_time,6,timestamp without time zone,,YES,CURRENT_TIMESTAMP
realtime_quotes,symbol,1,character varying,20,NO,
realtime_quotes,ts,2,timestamp without time zone,,NO,
realtime_quotes,last_price,3,numeric,,YES,
realtime_quotes,avg_price,4,numeric,,YES,
realtime_quotes,last_volume,5,bigint,,YES,
realtime_quotes,total_volume,6,bigint,,YES,
realtime_quotes,total_value,7,numeric,,YES,
realtime_quotes,foreign_buy_qty,8,bigint,,YES,
realtime_quotes,foreign_sell_qty,9,bigint,,YES,
realtime_quotes,foreign_buy_val,10,numeric,,YES,
realtime_quotes,foreign_sell_val,11,numeric,,YES,
realtime_quotes,bid1_price,12,numeric,,YES,
realtime_quotes,bid1_qty,13,bigint,,YES,
realtime_quotes,bid2_price,14,numeric,,YES,
realtime_quotes,bid2_qty,15,bigint,,YES,
realtime_quotes,bid3_price,16,numeric,,YES,
realtime_quotes,bid3_qty,17,bigint,,YES,
realtime_quotes,ask1_price,18,numeric,,YES,
realtime_quotes,ask1_qty,19,bigint,,YES,
realtime_quotes,ask2_price,20,numeric,,YES,
realtime_quotes,ask2_qty,21,bigint,,YES,
realtime_quotes,ask3_price,22,numeric,,YES,
realtime_quotes,ask3_qty,23,bigint,,YES,
realtime_quotes,ref_price,24,numeric,,YES,
realtime_quotes,ceil_price,25,numeric,,YES,
realtime_quotes,floor_price,26,numeric,,YES,
realtime_quotes,change_percent,27,numeric,,YES,
realtime_quotes,change_value,28,numeric,,YES,
realtime_quotes,high_price,29,numeric,,YES,
realtime_quotes,low_price,30,numeric,,YES,
vn_macro_yearly,year,1,integer,,NO,
vn_macro_yearly,tang_truong_gdp,2,double precision,,YES,
vn_macro_yearly,lam_phat,3,double precision,,YES,
vn_macro_yearly,tang_truong_cong_nghiep_xay_dung,4,double precision,,YES,
vn_macro_yearly,tang_truong_nganh_che_bien_che_tao,5,double precision,,YES,
vn_macro_yearly,tang_truong_tieu_dung_ho_gia_inh,6,double precision,,YES,
vn_macro_yearly,ty_gia_usd_vnd,7,double precision,,YES,
vn_macro_yearly,lai_suat_tien_gui,8,double precision,,YES,
vn_macro_yearly,lai_suat_cho_vay,9,double precision,,YES,
vn_macro_yearly,tang_truong_xuat_khau,10,double precision,,YES,
vn_macro_yearly,tang_truong_nhap_khau,11,double precision,,YES,
vn_macro_yearly,can_can_thuong_mai,12,double precision,,YES,
